Width of pulses after propagation through fiber
Initial pulse with sig_wl = 12nm, sig_t=2.1518e-13

L(m)	SigL_t (s)
100	8.85548e-13
200	1.73187e-12
300	2.58685e-12
400	3.44405e-12
500	4.30215e-12
600	5.16069e-12
700	6.01949e-12
800	6.87844e-12
900	7.73751e-12
1000	8.59665e-12
1100	9.45584e-12
1200	1.03151e-11
1300	1.11743e-11
1400	1.20336e-11
1500	1.28929e-11
1600	1.37523e-11
1700	1.46116e-11
1800	1.5471e-11
1900	1.63303e-11
2000	1.71897e-11
2100	1.80491e-11
2200	1.89084e-11
2300	1.97678e-11
2400	2.06272e-11
2500	2.14866e-11
2600	2.2346e-11
2700	2.32054e-11
2800	2.40648e-11
2900	2.49242e-11
3000	2.57836e-11
3100	2.6643e-11
3200	2.75024e-11
3300	2.83619e-11
3400	2.92213e-11
3500	3.00807e-11
3600	3.09401e-11
3700	3.17995e-11
3800	3.26589e-11
3900	3.35184e-11
4000	3.43778e-11
4100	3.52372e-11
4200	3.60966e-11
4300	3.6956e-11
4400	3.78155e-11
4500	3.86749e-11
4600	3.95343e-11
4700	4.03937e-11
4800	4.12532e-11
4900	4.21126e-11
5000	4.2972e-11
5100	4.38315e-11
5200	4.46909e-11
5300	4.55503e-11
5400	4.64097e-11
5500	4.72692e-11
5600	4.81286e-11
5700	4.8988e-11
5800	4.98475e-11
5900	5.07069e-11
6000	5.15663e-11
6100	5.24258e-11
6200	5.32852e-11
6300	5.41446e-11
6400	5.5004e-11
6500	5.58635e-11
6600	5.67229e-11
6700	5.75823e-11
6800	5.84418e-11
6900	5.93012e-11
7000	6.01606e-11
7100	6.10201e-11
7200	6.18795e-11
7300	6.27389e-11
7400	6.35984e-11
7500	6.44578e-11
7600	6.53172e-11
7700	6.61767e-11
7800	6.70361e-11
7900	6.78955e-11
8000	6.8755e-11
8100	6.96144e-11
8200	7.04738e-11
8300	7.13333e-11
8400	7.21927e-11
8500	7.30522e-11
8600	7.39116e-11
8700	7.4771e-11
8800	7.56305e-11
8900	7.64899e-11
9000	7.73493e-11
9100	7.82088e-11
9200	7.90682e-11
9300	7.99276e-11
9400	8.07871e-11
9500	8.16465e-11
9600	8.25059e-11
9700	8.33654e-11
9800	8.42248e-11
9900	8.50842e-11
10000	8.59437e-11
10100	8.68031e-11
10200	8.76626e-11
10300	8.8522e-11
10400	8.93814e-11
10500	9.02409e-11
10600	9.11003e-11
10700	9.19597e-11
10800	9.28192e-11
10900	9.36786e-11
11000	9.4538e-11
11100	9.53975e-11
11200	9.62569e-11
11300	9.71163e-11
11400	9.79758e-11
11500	9.88352e-11
11600	9.96947e-11
11700	1.00554e-10
11800	1.01414e-10
11900	1.02273e-10
12000	1.03132e-10
12100	1.03992e-10
12200	1.04851e-10
12300	1.05711e-10
12400	1.0657e-10
12500	1.0743e-10
12600	1.08289e-10
12700	1.09148e-10
12800	1.10008e-10
12900	1.10867e-10
13000	1.11727e-10
13100	1.12586e-10
13200	1.13446e-10
13300	1.14305e-10
13400	1.15165e-10
13500	1.16024e-10
13600	1.16883e-10
13700	1.17743e-10
13800	1.18602e-10
13900	1.19462e-10
14000	1.20321e-10
14100	1.21181e-10
14200	1.2204e-10
14300	1.22899e-10
14400	1.23759e-10
14500	1.24618e-10
14600	1.25478e-10
14700	1.26337e-10
14800	1.27197e-10
14900	1.28056e-10
15000	1.28916e-10
