Width of pulses after propagation through fiber
Initial pulse with sig_wl = 12nm, sig_t=1.0759e-13

L(m)	SigL_t (s)
100	1.72203e-12
200	3.43922e-12
300	5.15754e-12
400	6.87613e-12
500	8.59484e-12
600	1.03136e-11
700	1.20324e-11
800	1.37512e-11
900	1.54701e-11
1000	1.71889e-11
1100	1.89077e-11
1200	2.06266e-11
1300	2.23454e-11
1400	2.40643e-11
1500	2.57832e-11
1600	2.7502e-11
1700	2.92209e-11
1800	3.09398e-11
1900	3.26586e-11
2000	3.43775e-11
2100	3.60964e-11
2200	3.78152e-11
2300	3.95341e-11
2400	4.1253e-11
2500	4.29718e-11
2600	4.46907e-11
2700	4.64096e-11
2800	4.81285e-11
2900	4.98473e-11
3000	5.15662e-11
3100	5.32851e-11
3200	5.50039e-11
3300	5.67228e-11
3400	5.84417e-11
3500	6.01606e-11
3600	6.18794e-11
3700	6.35983e-11
3800	6.53172e-11
3900	6.70361e-11
4000	6.87549e-11
4100	7.04738e-11
4200	7.21927e-11
4300	7.39116e-11
4400	7.56304e-11
4500	7.73493e-11
4600	7.90682e-11
4700	8.07871e-11
4800	8.25059e-11
4900	8.42248e-11
5000	8.59437e-11
5100	8.76626e-11
5200	8.93814e-11
5300	9.11003e-11
5400	9.28192e-11
5500	9.45381e-11
5600	9.62569e-11
5700	9.79758e-11
5800	9.96947e-11
5900	1.01414e-10
6000	1.03132e-10
6100	1.04851e-10
6200	1.0657e-10
6300	1.08289e-10
6400	1.10008e-10
6500	1.11727e-10
6600	1.13446e-10
6700	1.15165e-10
6800	1.16883e-10
6900	1.18602e-10
7000	1.20321e-10
7100	1.2204e-10
7200	1.23759e-10
7300	1.25478e-10
7400	1.27197e-10
7500	1.28916e-10
7600	1.30634e-10
7700	1.32353e-10
7800	1.34072e-10
7900	1.35791e-10
8000	1.3751e-10
8100	1.39229e-10
8200	1.40948e-10
8300	1.42667e-10
8400	1.44385e-10
8500	1.46104e-10
8600	1.47823e-10
8700	1.49542e-10
8800	1.51261e-10
8900	1.5298e-10
9000	1.54699e-10
9100	1.56418e-10
9200	1.58136e-10
9300	1.59855e-10
9400	1.61574e-10
9500	1.63293e-10
9600	1.65012e-10
9700	1.66731e-10
9800	1.6845e-10
9900	1.70169e-10
10000	1.71887e-10
10100	1.73606e-10
10200	1.75325e-10
10300	1.77044e-10
10400	1.78763e-10
10500	1.80482e-10
10600	1.82201e-10
10700	1.8392e-10
10800	1.85638e-10
10900	1.87357e-10
11000	1.89076e-10
11100	1.90795e-10
11200	1.92514e-10
11300	1.94233e-10
11400	1.95952e-10
11500	1.9767e-10
11600	1.99389e-10
11700	2.01108e-10
11800	2.02827e-10
11900	2.04546e-10
12000	2.06265e-10
12100	2.07983e-10
12200	2.09702e-10
12300	2.11421e-10
12400	2.13139e-10
12500	2.14858e-10
12600	2.16577e-10
12700	2.18295e-10
12800	2.20014e-10
12900	2.21732e-10
13000	2.23451e-10
13100	2.25169e-10
13200	2.26887e-10
13300	2.28605e-10
13400	2.30323e-10
13500	2.32041e-10
13600	2.33759e-10
13700	2.35477e-10
13800	2.37194e-10
13900	2.38911e-10
14000	2.40628e-10
14100	2.42345e-10
14200	2.44062e-10
14300	2.45778e-10
14400	2.47494e-10
14500	2.4921e-10
14600	2.50925e-10
14700	2.5264e-10
14800	2.54355e-10
14900	2.56069e-10
15000	2.57783e-10
