Width of pulses after propagation through fiber
Initial pulse with sig_wl = 1nm, sig_t=1.2911e-12

L(m)	SigL_t (s)
100	1.2987e-12
200	1.32191e-12
300	1.35989e-12
400	1.41144e-12
500	1.47516e-12
600	1.54953e-12
700	1.63311e-12
800	1.72455e-12
900	1.82267e-12
1000	1.92645e-12
1100	2.03503e-12
1200	2.14768e-12
1300	2.26378e-12
1400	2.38284e-12
1500	2.50444e-12
1600	2.62822e-12
1700	2.75388e-12
1800	2.88119e-12
1900	3.00993e-12
2000	3.13992e-12
2100	3.27102e-12
2200	3.4031e-12
2300	3.53605e-12
2400	3.66977e-12
2500	3.80419e-12
2600	3.93923e-12
2700	4.07483e-12
2800	4.21093e-12
2900	4.3475e-12
3000	4.48448e-12
3100	4.62183e-12
3200	4.75954e-12
3300	4.89756e-12
3400	5.03588e-12
3500	5.17446e-12
3600	5.31329e-12
3700	5.45235e-12
3800	5.59162e-12
3900	5.73108e-12
4000	5.87073e-12
4100	6.01054e-12
4200	6.15052e-12
4300	6.29064e-12
4400	6.4309e-12
4500	6.57128e-12
4600	6.71179e-12
4700	6.85241e-12
4800	6.99314e-12
4900	7.13396e-12
5000	7.27488e-12
5100	7.41589e-12
5200	7.55699e-12
5300	7.69816e-12
5400	7.83941e-12
5500	7.98072e-12
5600	8.12211e-12
5700	8.26356e-12
5800	8.40507e-12
5900	8.54664e-12
6000	8.68826e-12
6100	8.82994e-12
6200	8.97166e-12
6300	9.11343e-12
6400	9.25525e-12
6500	9.39711e-12
6600	9.53901e-12
6700	9.68096e-12
6800	9.82293e-12
6900	9.96495e-12
7000	1.0107e-11
7100	1.02491e-11
7200	1.03912e-11
7300	1.05333e-11
7400	1.06755e-11
7500	1.08177e-11
7600	1.09599e-11
7700	1.11022e-11
7800	1.12445e-11
7900	1.13868e-11
8000	1.15291e-11
8100	1.16715e-11
8200	1.18138e-11
8300	1.19562e-11
8400	1.20986e-11
8500	1.22411e-11
8600	1.23835e-11
8700	1.2526e-11
8800	1.26685e-11
8900	1.2811e-11
9000	1.29535e-11
9100	1.3096e-11
9200	1.32386e-11
9300	1.33811e-11
9400	1.35237e-11
9500	1.36663e-11
9600	1.38089e-11
9700	1.39515e-11
9800	1.40942e-11
9900	1.42368e-11
10000	1.43795e-11
10100	1.45221e-11
10200	1.46648e-11
10300	1.48075e-11
10400	1.49502e-11
10500	1.50929e-11
10600	1.52356e-11
10700	1.53784e-11
10800	1.55211e-11
10900	1.56638e-11
11000	1.58066e-11
11100	1.59494e-11
11200	1.60921e-11
11300	1.62349e-11
11400	1.63777e-11
11500	1.65205e-11
11600	1.66633e-11
11700	1.68061e-11
11800	1.6949e-11
11900	1.70918e-11
12000	1.72346e-11
12100	1.73775e-11
12200	1.75203e-11
12300	1.76632e-11
12400	1.7806e-11
12500	1.79489e-11
12600	1.80917e-11
12700	1.82346e-11
12800	1.83775e-11
12900	1.85204e-11
13000	1.86633e-11
13100	1.88062e-11
13200	1.89491e-11
13300	1.9092e-11
13400	1.92349e-11
13500	1.93778e-11
13600	1.95208e-11
13700	1.96637e-11
13800	1.98066e-11
13900	1.99496e-11
14000	2.00925e-11
14100	2.02354e-11
14200	2.03784e-11
14300	2.05214e-11
14400	2.06643e-11
14500	2.08073e-11
14600	2.09502e-11
14700	2.10932e-11
14800	2.12362e-11
14900	2.13792e-11
15000	2.15221e-11
